id,Activity,Domain,Description (Detailed Steps),Tools (Column E),Toy Photo (Col H),Activity Photo (Col I)
106,Find The Red Toy,Cognitive,"1. Scatter several toys of different colors on the floor. 2. Ask the child ""Can you find something red?"". 3. Praise them when they pick up a red item and name the color again to reinforce the concept.",Assorted colorful toys,[Image: Group of multi-colored toys],[Image: Child holding up a red toy]
107,Stack And Knock,Cognitive,"1. Build a tall tower of soft blocks in front of the child. 2. Say ""1, 2, 3... Knock it down!"". 3. Let the child push the tower over, then encourage them to help you rebuild it to learn cause and effect.",Soft fabric blocks,[Image: Tall tower of soft blocks],[Image: Child pushing over a block tower]
108,Category Sort,Cognitive,"1. Mix toy animals and toy vehicles in a pile. 2. Label two boxes: ""Animals"" and ""Cars."" 3. Show the child how to sort them, explaining that one group has legs and the other has wheels.",Plastic animals and small cars,[Image: Toy cow and toy truck side-by-side],[Image: Child placing a cow in an animal bin]
109,Build Tower Challenge,Cognitive,"1. Give the child 5 blocks and keep 5 for yourself. 2. Tell them ""Let's see how high we can go!"". 3. Take turns adding one block at a time to a single tower, teaching patience and steady hand movements.",Large plastic building blocks,[Image: Stack of interlocking blocks],[Image: Parent and child adding to a tower]
110,What Is Missing,Cognitive,"1. Place three familiar toys on a tray (e.g., Ball, Cup, Spoon). 2. Have the child close their eyes, then remove one toy. 3. Ask ""What is gone?"" and encourage them to remember the missing item.","Tray, Ball, Cup, Spoon",[Image: Tray with three common objects],[Image: Child looking at a tray with one empty spot]
111,Shadow Matching,Cognitive,"1. Draw the outlines (shadows) of 3 simple toys on a piece of paper. 2. Hand the child the actual toys. 3. Encourage them to place each toy onto its corresponding ""shadow"" drawing.","Paper, marker, 3 simple toys",[Image: Paper with toy outlines],[Image: Child placing a toy on its outline]
112,Container Fill,Cognitive,"1. Provide a large empty bucket and a scoop of dry rice or sand. 2. Show the child how to fill the bucket to the top. 3. Then, show them how to pour it all out to understand concepts of ""full"" and ""empty"".","Plastic bucket, scoop, dry rice",[Image: Bucket filled with dry rice],[Image: Child pouring rice from a scoop]
113,Which Is Bigger,Cognitive,"1. Hold up a large ball and a very small ball. 2. Ask the child ""Which one is BIG?"". 3. Encourage them to point to or grab the larger object, then repeat the word ""Big"".","One large ball, one small ball",[Image: Large beach ball and small tennis ball],[Image: Child pointing to a large object]
114,Toy Sequence,Cognitive,"1. Lay out a sequence of activities (e.g., Brush hair, then put on hat). 2. Show the child the two steps in order. 3. Ask them ""What do we do first?"" and guide them through the simple two-step routine.","Hairbrush, Hat",[Image: Hairbrush and a sun hat],[Image: Child brushing hair then reaching for hat]
115,Cup Hide Game,Cognitive,"1. Place a small toy under one of two identical cups while the child watches. 2. Slowly move the cups around. 3. Ask ""Where is the toy?"" and let the child lift a cup to find it.","Two identical plastic cups, small toy",[Image: Two yellow cups],[Image: Child lifting a cup to find a toy]
116,Pattern Clap,Cognitive,"1. Clap a simple rhythm (e.g., Clap-Clap, Pause). 2. Look at the child and say ""Your turn!"". 3. Encourage them to mimic the same rhythm, helping them develop auditory memory.",No tools needed,[Image: Icon of clapping hands],[Image: Parent and child clapping together]
117,Sound Guess,Cognitive,"1. Stand behind the child and make a sound (e.g., shake a bell or crinkle paper). 2. Ask ""Where is that sound?"". 3. Encourage the child to turn their head or point in the direction the sound came from.",Bell or crinkly paper,[Image: Piece of crinkled cellophane],[Image: Child turning head toward a sound]
118,Two Step Task,Cognitive,"1. Give a simple command with two parts: ""Pick up the ball and put it in the box."" 2. Wait for the child to process both steps. 3. Praise them for completing the sequence in the correct order.","Ball, Toy box",[Image: Box and a ball],[Image: Child placing a ball into a box]
119,Find The Pair,Cognitive,"1. Scatter 3 pairs of identical socks on the floor. 2. Pick up one sock and show it to the child. 3. Ask ""Can you find the other one just like this?"" to encourage visual matching.",3 pairs of colorful socks,[Image: Pair of matching striped socks],[Image: Child holding two matching socks]
120,Simple Maze,Cognitive,"1. Draw a wide, simple path on a piece of paper leading from a ""Start"" to a ""Finish"" (e.g., a mouse to a cheese). 2. Show the child how to move their finger along the path. 3. Encourage them to stay ""inside the lines"" until the end.","Paper, marker",[Image: Simple straight path drawing],[Image: Child tracing a line with their finger]
121,Mirror Smile,Social & Emotional,"1. Sit with the child in front of a mirror. 2. Make a big, bright smile and say ""Happy!"". 3. Wait for the child to see your reflection and encourage them to smile back at themselves and you.",Child-safe mirror,[Image: Acrylic safety mirror],[Image: Child smiling at their reflection]
122,Clap Together,Social & Emotional,"1. Sit facing the child and start a slow, rhythmic clap. 2. Reach out and gently help the child clap their hands together. 3. Cheer and laugh together to celebrate the shared rhythmic movement.",No tools needed,[Image: Icon of clapping hands],[Image: Parent and child clapping together]
123,Ball Turn Taking,Social & Emotional,"1. Sit on the floor across from the child. 2. Roll a soft ball to them and say ""Your turn!"". 3. Wait for them to roll it back and say ""My turn!"", teaching the flow of social play.",Soft plush or rubber ball,[Image: Soft textured ball],[Image: Parent and child rolling a ball]
124,Pretend Feeding,Social & Emotional,"1. Give the child a doll or teddy bear and a toy spoon. 2. Show them how to ""feed"" the doll. 3. Encourage the child to mimic the nurturing action, fostering early empathy.","Doll or Teddy, toy spoon",[Image: Small baby doll],"[Image: Child ""feeding"" a teddy bear]"
125,Toy Sharing,Social & Emotional,"1. Play with a set of blocks together. 2. Hand a block to the child and say ""One for you."" 3. Ask the child to ""Give one to me,"" praising them when they hand a toy over.",Set of building blocks,[Image: Multi-colored blocks],[Image: Child handing a toy to a parent]
126,Group Song Time,Social & Emotional,"1. Sit in a circle with family or other children. 2. Sing a familiar song with hand motions like ""If You're Happy and You Know It."" 3. Encourage the child to look at others and join in the collective movements.",Music player (optional),[Image: Musical note icons],[Image: Children sitting in a circle singing]
127,Emotion Face Game,Social & Emotional,"1. Make an exaggerated face (Happy, Sad, Surprised). 2. Name the emotion clearly: ""I am sad."" 3. Ask the child to copy your face and name the feeling together.",No tools needed,[Image: Emoticon faces],[Image: Parent and child making funny faces]
128,Goodbye Wave,Social & Emotional,"1. When someone leaves the room, say ""Bye-bye!"". 2. Demonstrate a waving motion with your hand. 3. Help the child lift their hand and wave to practice social greetings and departures.",No tools needed,[Image: Icon of a waving hand],[Image: Child waving at a door]
129,Hug Game,Social & Emotional,"1. Open your arms wide and say ""Hug?"". 2. Lean in for a gentle embrace. 3. Encourage the child to initiate hugs with you or a favorite stuffed animal to express affection.",Favorite stuffed toy,[Image: Soft plush animal],[Image: Child hugging a parent]
130,Name Response,Social & Emotional,1. Sit behind or to the side of the child while they play. 2. Call their name clearly in a cheerful voice. 3. Reward them with a smile or a tickle the moment they turn their head to acknowledge you.,No tools needed,[Image: Speech bubble with a name],[Image: Child turning head when called]
131,Pretend Cooking,Social & Emotional,"1. Provide a toy pot and a wooden spoon. 2. Show the child how to ""stir"" the pot. 3. Pretend to taste the ""food"" and say ""Mmm, yummy!"" to encourage imaginative role-play.",Toy pot and spoon,[Image: Plastic toy cooking set],[Image: Child stirring a toy pot]
132,Dress Up Play,Social & Emotional,"1. Set out a basket of easy-to-wear items like large hats or scarves. 2. Put a hat on yourself, then on the child. 3. Look in the mirror together and talk about the ""new"" characters you've become.","Large hats, soft scarves",[Image: Bright sun hat],[Image: Child wearing a large adult hat]
133,Tickle Game,Social & Emotional,"1. Say ""I'm gonna get you!"" in a playful tone. 2. Gently tickle the child's tummy or toes. 3. Pause and wait for their laughter or a ""more"" gesture before continuing to build social anticipation.",No tools needed,[Image: Smiling sun icon],[Image: Parent tickling a laughing child]
134,Greeting Practice,Social & Emotional,"1. When a family member enters, say ""Hello!"". 2. Encourage the child to look at the person. 3. Prompt the child to wave or say a sound to acknowledge the arrival of a loved one.",No tools needed,"[Image: ""Hello"" text bubble]",[Image: Child reaching for a person entering]
135,Emotion Story,Social & Emotional,"1. Read a book where a character is feeling an emotion. 2. Point to the character's face and say, ""He is happy because he has a ball."" 3. Ask the child ""Are you happy?"" to bridge the story to their own feelings.",Picture book with characters,[Image: Book showing a happy face],[Image: Parent and child discussing a book]
136,Thank You Practice,Social & Emotional,"1. Hand a toy to the child and say ""Here you go."" 2. When the child hands you something, say ""Thank you"" with a big smile. 3. Model the behavior consistently to help the child learn the social rhythm of gratitude.",Any small toy,[Image: Hand-to-hand toy transfer],[Image: Parent smiling while receiving a toy]
137,High Five Game,Social & Emotional,"1. Hold your palm up and say ""High Five!"". 2. Guide the child's hand to slap yours. 3. Celebrate the contact with a cheer to build a sense of shared accomplishment.",No tools needed,[Image: Open palm icon],[Image: Child giving parent a high five]
138,Give and Take,Social & Emotional,"1. Hold a toy and offer it to the child. 2. Once they take it, gently ask ""Can I have it please?"". 3. When they give it back, praise them immediately to encourage the flow of reciprocal play.",Small handheld toy,[Image: Colorful toy ring],[Image: Child handing a toy back to parent]
139,Family Photo Talk,Social & Emotional,"1. Show the child a photo of a family member who isn't present. 2. Name the person and talk about them: ""That's Grandma! She loves you."" 3. Encourage the child to kiss the photo or wave to foster long-distance bonding.",Printed family photos,[Image: Photo of a smiling person],[Image: Child looking at a family photo]
140,Care For Teddy,Social & Emotional,"1. Lay a teddy bear down and cover it with a small cloth. 2. Whisper ""Shh, teddy is sleeping."" 3. Have the child ""pat"" the bear gently to practice being quiet and careful with others.","Teddy bear, small cloth",[Image: Plush bear with a blanket],[Image: Child patting a stuffed animal]
141,Wave Hello,Social & Emotional,"1. When someone enters the room, say ""Hello!"" in a cheerful voice. 2. Demonstrate a waving motion. 3. Encourage the child to look at the person and mirror your wave to practice social greetings.",No tools needed,[Image: Waving hand icon],[Image: Child waving at an open door]
142,Happy Dance,Social & Emotional,"1. Play a favorite upbeat song. 2. Hold the child's hands and bounce or sway together. 3. Laugh and cheer as you move, showing the child how to express joy through physical movement.",Music player or speaker,[Image: Musical note symbols],[Image: Parent and child dancing together]
143,Comfort Toy,Social & Emotional,1. Identify a specific soft toy the child gravitates toward when tired or upset. 2. Offer the toy during quiet transitions or naps. 3. Use the toy to model self-soothing by hugging it yourself first.,Soft plush animal or blanket,[Image: Soft teddy bear],[Image: Child cuddling a plush toy]
144,Laugh Together,Social & Emotional,"1. Make a funny sound or a silly face (e.g., a ""pop"" sound with your cheek). 2. Wait for the child to react. 3. Repeat the action that made them laugh to build a shared sense of humor and connection.",No tools needed,[Image: Smiling face icon],[Image: Parent and child laughing]
145,Help Carry Toy,Social & Emotional,"1. Hold a large but lightweight toy (like a beach ball). 2. Ask the child ""Can you help me?"". 3. Have them hold one side while you hold the other as you move it across the room.",Large lightweight ball or box,[Image: Large inflatable ball],[Image: Parent and child carrying a box]
146,Role Play Shopping,Social & Emotional,"1. Set out a few toy food items and a small basket. 2. Pretend to pick an item and put it in the basket. 3. Encourage the child to ""shop"" and hand you items to ""buy,"" practicing social exchange.","Toy food, small basket",[Image: Plastic toy fruit],[Image: Child placing toy food in basket]
147,Pretend Doctor,Social & Emotional,"1. Use a toy stethoscope to ""listen"" to a teddy bear's heart. 2. Gently show the child how to do the same. 3. This reduces anxiety about real check-ups and encourages nurturing behavior.",Toy doctor kit,[Image: Toy stethoscope],[Image: Child using toy on a teddy bear]
148,Sharing Snack,Social & Emotional,"1. Place a few small crackers on a plate. 2. Take one and say ""One for me."" 3. Hand one to the child and say ""One for you,"" teaching the basics of fair distribution and sharing.","Small crackers, plastic plate",[Image: Small round crackers],[Image: Child and parent sharing a snack]
149,Friend Doll Play,Social & Emotional,"1. Use two dolls to act out a simple interaction, like waving ""Hi."" 2. Give one doll to the child and keep one for yourself. 3. Encourage the dolls to ""talk"" or play together to model friendship.",Two small dolls or figurines,[Image: Two plastic peg dolls],[Image: Child playing with two dolls]
150,Smile Exchange,Social & Emotional,"1. Lean close to the child and wait for them to look at you. 2. Give a big, warm smile and wait silently. 3. When they smile back, respond with a verbal ""I see that big smile!"" to reinforce emotional bonding.",No tools needed,[Image: Glowing sun icon],[Image: Parent and baby smiling at each other]
151,Baby Massage,Sensory,"1. Use a small amount of baby-safe oil or lotion. 2. Gently stroke the child's arms and legs with firm but soft pressure. 3. Narrate the touch (e.g., ""Soft touch on your toes"") to help them process tactile input.",Baby-safe lotion or oil,[Image: Bottle of baby oil],[Image: Parent massaging a baby's leg]
152,Texture Basket,Sensory,"1. Fill a low basket with items like silk, a loofah, a smooth stone, and a pinecone. 2. Encourage the child to reach in and explore. 3. Use words like ""rough,"" ""smooth,"" or ""fuzzy"" as they touch each item.","Wicker basket, various textures",[Image: Basket of textured fabrics],[Image: Child feeling a bumpy ball]
153,Water Splash,Sensory,1. Fill a shallow tray with an inch of water. 2. Show the child how to tap the surface to make a splash. 3. Add a few floating toys to encourage them to reach and move their hands through the water.,"Shallow plastic tray, water",[Image: Blue plastic water tray],[Image: Child splashing water in a tub]
154,Rice Bin Dig,Sensory,"1. Fill a large plastic bin with dry rice. 2. Bury several small plastic toys under the rice. 3. Encourage the child to use their hands to ""dig"" through the rice and find the hidden treasures.","Large bin, dry rice, small toys",[Image: Bin filled with white rice],[Image: Child's hands buried in rice]
155,Sand Play,Sensory,1. Provide a small tray of clean play sand. 2. Show the child how to run their fingers through it or squeeze it. 3. Use a small rake or cup to show how the sand moves and takes shape.,"Play sand, small rake",[Image: Small pile of play sand],[Image: Child pouring sand from a cup]
156,Playdough Press,Sensory,"1. Roll out a flat ""pancake"" of playdough. 2. Give the child items like shells or large buttons. 3. Show them how to press the items into the dough to leave an impression, then peel them off.","Soft playdough, shells/buttons",[Image: Playdough with a shell print],[Image: Child pressing a hand into dough]
157,Bubble Catch,Sensory,"1. Blow a few bubbles into the air toward the child. 2. Encourage them to watch the bubbles move and track them with their eyes. 3. Show them how to reach out and ""catch"" a bubble on their hand before it pops.",Bubble solution and wand,[Image: Wand with a soap bubble],[Image: Child reaching for a bubble]
158,Feather Touch,Sensory,"1. Use a large, soft craft feather. 2. Gently brush the feather against the child's palm, arm, or cheek. 3. Observe their reaction to the light, ticklish sensation and name the feeling (""That's soft!"").",Soft craft feather,[Image: Large colorful feather],[Image: Parent brushing a feather on child's hand]
159,Ice Touch,Sensory,"1. Place a few large ice cubes in a bowl. 2. Let the child touch the ice for a few seconds. 3. Talk about the sensation of ""Cold!"" and watch how the ice slips and melts in their hand.","Ice cubes, plastic bowl",[Image: Clear ice cubes in a bowl],[Image: Child touching a cold ice cube]
160,Water Pouring,Sensory,"1. Provide two plastic cups, one filled with water. 2. Show the child how to pour water from one cup into the other. 3. Listen to the ""glug-glug"" sound and watch the water move to build hand-eye coordination.","Two plastic cups, water",[Image: Water pouring between cups],[Image: Child pouring water into a tray]
161,Texture Walk,Sensory,"1. Lay out different ""floor stations"" using a rug, a towel, and bubble wrap. 2. Hold the child's hands as they walk barefoot over each surface. 3. Describe the change in feeling, such as ""soft,"" ""bumpy,"" or ""scratchy.""","Rug, towel, bubble wrap",[Image: Various floor textures],[Image: Child walking on bubble wrap]
162,Sound Shake,Sensory,"1. Fill three identical plastic eggs with different items (beans, rice, a bell). 2. Shake one egg and listen to the unique sound it makes. 3. Encourage the child to shake the eggs and find the one that sounds ""loud"" or ""quiet.""","Plastic eggs, dry beans, rice",[Image: Colorful plastic eggs],[Image: Child shaking a plastic egg]
163,Light Shadow Play,Sensory,"1. Dim the lights and shine a flashlight against a plain wall. 2. Move your hand in front of the light to create shadows. 3. Encourage the child to try and ""catch"" the shadow on the wall with their hands.",Flashlight,[Image: Bright LED flashlight],[Image: Hand shadow on a wall]
164,Scent Smell Game,Sensory,"1. Hold a safe, scented item like a lemon slice or a cinnamon stick near the child. 2. Say ""Mmm, smell the lemon!"" and take a deep breath. 3. Observe the child's reaction as they take a sniff of the new scent.","Lemon slice, cinnamon stick",[Image: Fresh lemon wedge],[Image: Child smelling a piece of fruit]
165,Wind Fan Play,Sensory,1. Turn on a small electric fan on a low setting. 2. Hold a lightweight scarf in front of the fan so it flutters. 3. Let the child feel the air on their skin and watch how the wind moves the fabric.,"Small fan, silk scarf",[Image: Portable electric fan],[Image: Child feeling air from a fan]
166,Warm Water Dip,Sensory,"1. Prepare a bowl of comfortably warm water (test on your wrist first). 2. Let the child dip their hands or feet into the water. 3. Talk about the ""warm"" sensation compared to the cool air in the room.","Plastic basin, warm water",[Image: Plastic wash basin],[Image: Child's feet in warm water]
167,Cold Spoon Touch,Sensory,"1. Place a metal spoon in the refrigerator for 10 minutes. 2. Gently touch the back of the cold spoon to the child’s palm or cheek. 3. Watch for their reaction to the sudden temperature change and say ""Ooh, cold!"".",Metal spoon,[Image: Stainless steel spoon],[Image: Parent touching spoon to child's hand]
168,Foam Play,Sensory,1. Spray a small amount of unscented shaving foam or whipped cream onto a tray. 2. Show the child how to draw lines or circles in the foam with their finger. 3. Encourage them to squish the foam between their hands to feel the airy texture.,Shaving foam or whipped cream,[Image: Pile of white foam],[Image: Child drawing in foam on a tray]
169,Finger Sand Drawing,Sensory,"1. Spread a thin layer of sand over a dark-colored tray. 2. Use your finger to draw a simple shape or a letter. 3. Have the child ""erase"" the drawing by shaking the tray and then let them draw their own lines.","Tray, clean play sand",[Image: Tray with a layer of sand],[Image: Finger drawing a circle in sand]
170,Leaf Touch Game,Sensory,"1. Collect several leaves of different shapes and textures (crunchy, smooth, fuzzy). 2. Let the child hold and crumble a dry leaf to hear the sound. 3. Compare it to a smooth green leaf to explore natural textures.",Assorted natural leaves,[Image: Green and brown leaves],[Image: Child crumbling a dry leaf]
171,Grass Walk,Sensory,"1. Take the child to a patch of clean, safe grass. 2. Let them stand or crawl barefoot on the grass. 3. Describe the feeling of the ""tickly"" grass on their skin as they move around.",Natural grass area,[Image: Patch of green grass],[Image: Child crawling on grass]
172,Bubble Pop,Sensory,"1. Blow bubbles upward so they float down toward the child. 2. Encourage the child to use their ""pointer finger"" to poke a bubble. 3. Celebrate with a ""Pop!"" sound every time they successfully touch one.",Bubble solution and wand,[Image: Soap bubbles in the air],[Image: Child's finger popping a bubble]
173,Fabric Rub Game,Sensory,"1. Gather scraps of different fabrics like corduroy, satin, and fleece. 2. Rub a piece gently against the child's arm. 3. Let them grab the fabric and feel the difference between the ""bumpy"" and ""soft"" materials.","Fabric scraps (Satin, Fleece)",[Image: Pieces of different fabrics],[Image: Child feeling a piece of satin]
174,Water Drip Watch,Sensory,"1. Use a sponge or a washcloth soaked in water. 2. Hold it above a bowl and squeeze it slowly so the water drips. 3. Encourage the child to watch the drops fall and listen to the ""plop"" sound in the water.","Sponge, bowl of water",[Image: Wet yellow sponge],[Image: Water dripping into a bowl]
175,Rolling Ball Feel,Sensory,"1. Use a ball with a unique texture (e.g., a nubby sensory ball). 2. Roll the ball slowly over the child's legs or back. 3. Encourage them to catch the ball and explore the ""bumps"" with their own hands.",Textured sensory ball,[Image: Bumpy rubber ball],[Image: Ball being rolled on child's arm]
176,Vibration Toy,Sensory,1. Use a toy that gently vibrates when a string is pulled or a button is pushed. 2. Place the vibrating toy against the child's hand. 3. Observe their curiosity as they feel the steady buzzing sensation.,Vibrating plush toy,[Image: Pull-string vibrating toy],[Image: Child holding a vibrating toy]
177,Texture Path Crawl,Sensory,"1. Tape squares of different materials (tinfoil, felt, cardboard) to the floor in a line. 2. Encourage the child to crawl along the path. 3. Notice how they react to the ""crinkle"" of the foil versus the ""soft"" felt.","Tinfoil, felt, cardboard",[Image: Path of different materials],[Image: Child crawling on tinfoil]
178,Corn Flour Play,Sensory,"1. Mix corn flour with a little water to create ""Oobleck"" (a goop that is both solid and liquid). 2. Let the child punch the surface, then watch their hand sink in. 3. Show them how to scoop it up and watch it ""melt"" through their fingers.","Corn flour, water, tray",[Image: Bowl of white corn flour goop],[Image: Child's hands in white goop]
179,Bottle Sound Shake,Sensory,1. Fill small plastic bottles with different amounts of water. 2. Shake the bottles to show how the sound changes based on the water level. 3. Let the child shake them to feel the weight shift and hear the splashing.,Small clear plastic bottles,[Image: Plastic bottles with water],[Image: Child shaking a water bottle]
180,Soft Brush Touch,Sensory,"1. Use a very soft makeup brush or a baby hairbrush. 2. Gently ""paint"" the child’s hand or foot with the dry bristles. 3. Describe the sensation as ""tickly"" or ""soft"" to build sensory vocabulary.",Soft baby brush or makeup brush,[Image: Soft-bristled baby brush],[Image: Parent brushing child's foot]
181,Finger Feeding,Self Help,"1. Place small, soft pieces of food (like steamed carrots) on a high-chair tray. 2. Show the child how to pick up one piece using their thumb and forefinger. 3. Encourage them to bring the food to their mouth independently.",Soft-cooked vegetable pieces,[Image: Steamed carrot sticks],[Image: Child picking up a small snack]
182,Cup Drinking,Self Help,"1. Use a small, open cup with a tiny amount of water. 2. Guide the child's hands to hold both sides of the cup. 3. Help them tip it slowly to take a small sip without spilling.",Small open training cup,[Image: Plastic child-sized cup],[Image: Child holding cup to mouth]
183,Toy Cleanup,Self Help,"1. At the end of play, bring a large bin to the center of the room. 2. Pick up a toy and say ""In the box!"". 3. Hand a toy to the child and guide them to drop it into the bin.",Large toy bin or basket,[Image: Plastic toy crate],[Image: Child putting a doll in a box]
184,Sock Removal,Self Help,1. Loosen the heel of the child's sock slightly. 2. Show them how to grab the toe part of the sock. 3. Encourage them to pull the sock all the way off their foot.,Loose-fitting cotton socks,[Image: Pair of colorful baby socks],[Image: Child pulling a sock off]
185,Hand Washing,Self Help,1. Stand the child at the sink using a secure step stool. 2. Apply a small drop of mild soap to their hands. 3. Help them rub their palms together and rinse under the water.,"Step stool, mild liquid soap",[Image: Bottle of hand soap],[Image: Parent helping child wash hands]
186,Brushing Teeth,Self Help,"1. Apply a smear of child-safe toothpaste to a small brush. 2. Let the child hold the handle while you guide the bristles over their teeth. 3. Allow them to ""brush"" on their own for a few seconds to build familiarity.",Soft toddler toothbrush,[Image: Small colorful toothbrush],[Image: Child holding a toothbrush]
187,Spoon Eating,Self Help,1. Provide a bowl of thick food (like yogurt or oatmeal) that stays on a spoon. 2. Scoop a small amount and hand the spoon to the child. 3. Guide their hand to their mouth to help them learn the scooping motion.,"Chunky baby spoon, yogurt",[Image: Short-handled baby spoon],[Image: Child trying to feed themselves]
188,Hat On Off,Self Help,"1. Place a soft, loose hat on the child's head while looking in a mirror. 2. Show them how to grab the brim and pull it off. 3. Encourage them to try and ""plop"" the hat back onto their head.",Soft sun hat or beanie,[Image: Wide-brimmed cotton hat],[Image: Child pulling a hat off]
189,Simple Dressing,Self Help,1. Hold out a shirt with a wide neck opening. 2. Encourage the child to push their arms through the sleeve holes. 3. Praise their effort as they help pull the garment down over their tummy.,Loose-fitting t-shirt,[Image: Child's cotton t-shirt],[Image: Child pushing arm through sleeve]
190,Towel Drying,Self Help,"1. After washing hands, hand a small, soft towel to the child. 2. Show them how to rub the towel over their wet hands. 3. Encourage them to ""pat-pat"" their skin until the water is gone.",Small hand towel,[Image: Soft terrycloth towel],[Image: Child rubbing hands with a towel]
191,Toy Shelf Return,Self Help,"1. Identify a low, open shelf where a specific toy belongs. 2. Hand the toy to the child and point to the shelf. 3. Guide them to walk over and place the toy neatly in its ""home.""",Low open bookshelf,[Image: Wooden toy shelf],[Image: Child placing a toy on a shelf]
192,Snack Plate Carry,Self Help,"1. Place a few dry crackers on a lightweight, non-slip plastic plate. 2. Have the child hold the plate with both hands. 3. Encourage them to walk a short distance to the table without dropping the crackers.",Lightweight plastic plate,[Image: Small plastic plate],[Image: Child carrying a plate carefully]
193,Water Bottle Drink,Self Help,1. Provide a child-safe water bottle with a straw or spout. 2. Show them how to flip the lid or position the straw. 3. Encourage them to hold the bottle and drink independently throughout the day.,Toddler straw bottle,[Image: Reusable water bottle],[Image: Child drinking from a straw]
194,Chair Sitting,Self Help,"1. Place a sturdy, child-sized chair near the child. 2. Show them how to turn around and back up toward the seat. 3. Assist them in lowering themselves safely into the chair to sit.",Sturdy child-sized chair,[Image: Small wooden chair],[Image: Child sitting down in a small chair]
195,Nap Blanket Fold,Self Help,"1. After a nap, lay the child's small blanket flat on the floor. 2. Show them how to take two corners and bring them to the middle. 3. Encourage them to ""smooth"" the blanket with their hands.",Small fleece blanket,[Image: Soft baby blanket],[Image: Child's hands folding fabric]
196,Shoe Placement,Self Help,1. Designate a specific spot or mat near the door for shoes. 2. Hand the child their shoes after coming inside. 3. Encourage them to bend down and place the shoes neatly on the designated spot.,Small floor mat or tray,[Image: Pair of toddler sneakers],[Image: Child placing shoes on a mat]
197,Laundry Help,Self Help,"1. Give the child a small piece of clean laundry (like a sock). 2. Point to the laundry basket. 3. Encourage them to walk over and drop the item into the basket to ""help"" with chores.",Small laundry basket,[Image: Plastic laundry basket],[Image: Child dropping a sock in a basket]
198,Spoon In Sink,Self Help,"1. After a meal, show the child your empty spoon. 2. Guide them to a low plastic basin or the kitchen sink. 3. Encourage them to drop their used spoon into the basin to signal the end of the meal.",Plastic basin,[Image: Kitchen sink basin],[Image: Child putting a spoon in a tub]
199,Trash In Bin,Self Help,"1. Give the child a small, safe piece of trash (like a paper scrap). 2. Point to a small, open wastebasket. 3. Encourage them to drop the paper inside and say ""All gone!"".",Small open trash bin,[Image: Small wastebasket],[Image: Child dropping paper in a bin]
200,Carry Small Bag,Self Help,1. Place a very light item (like a plush toy) in a small tote bag. 2. Hand the handle of the bag to the child. 3. Encourage them to carry the bag while walking from one room to another.,Small cloth tote bag,[Image: Fabric bag with handles],[Image: Child walking with a small bag]
201,Place Book on Shelf,Self Help,"1. Hand the child a sturdy board book. 2. Point to a low, reachable shelf. 3. Guide them to slide the book onto the shelf alongside others.","Low bookshelf, board books",[Image: Child's bookshelf],[Image: Child placing a book on a shelf]
202,Wipe Table Try,Self Help,"1. Give the child a small, damp microfiber cloth. 2. Demonstrate a circular wiping motion on a low table. 3. Encourage them to ""clean up"" their play surface.",Small damp cloth,[Image: Soft blue cloth],[Image: Child wiping a table]
203,Put Toys In Box,Self Help,1. Point to scattered toys on the floor. 2. Hand one toy to the child and gesture toward the box. 3. Celebrate every toy they successfully put inside the container.,Large toy box,[Image: Toy storage box],[Image: Child cleaning up toys]
204,Close Drawer Help,Self Help,"1. Open a low, safe drawer (e.g., in a play kitchen). 2. Show the child how to place their palms flat on the front. 3. Encourage them to push until the drawer clicks shut.",Low safe drawer,[Image: Low cabinet drawer],[Image: Child pushing a drawer shut]
205,Put Cup On Table,Self Help,"1. After drinking, guide the child to hold their cup with both hands. 2. Point to a flat, clear spot on the table. 3. Encourage them to set the cup down gently without tipping it over.",Plastic training cup,[Image: Colorful plastic cup],[Image: Child placing cup on a table]
206,Pick Up Cloth,Self Help,"1. Drop a clean washcloth or napkin on the floor. 2. Ask the child ""Can you get that?"". 3. Encourage them to bend their knees, pick up the cloth, and hand it to you.",Small washcloth,[Image: Stack of washcloths],[Image: Child bending to pick up cloth]
207,Open Lunch Box,Self Help,1. Provide an easy-to-open lunch box with a simple latch. 2. Show the child how to lift the clip. 3. Encourage them to pull the lid open to find a small treat or toy inside.,Easy-latch lunch box,[Image: Plastic bento box],[Image: Child lifting a lunch box lid]
208,Hold Napkin,Self Help,"1. During a meal, hand the child a clean paper or cloth napkin. 2. Show them how to hold it in their lap or hand. 3. Encourage them to use it to ""pat"" their mouth after eating.",Cloth or paper napkin,[Image: White square napkin],[Image: Child holding a napkin]
209,Shoes Near Door,Self Help,"1. When entering the house, point to a specific shoe rack or mat. 2. Assist the child in taking off their shoes. 3. Encourage them to carry the shoes over and set them down in the designated ""shoe home"".",Shoe mat or tray,[Image: Plastic shoe tray],[Image: Child setting shoes on a mat]
210,Fold Small Cloth,Self Help,"1. Lay a small square washcloth flat. 2. Show the child how to bring two corners together to make a rectangle. 3. Help them press down on the fold with their palm to make it ""neat"".",Small square washcloth,[Image: Soft square cloth],[Image: Child folding a cloth]
